Date,Open,High,Low,Close,Adj Close,Volume
2007-05-16,62.400002,62.400002,62.400002,62.400002,31.581320,0
2007-05-17,62.369999,62.369999,62.369999,62.369999,31.566151,0
2007-05-18,62.790001,62.790001,62.790001,62.790001,31.778696,0
2007-05-21,62.869999,62.869999,62.869999,62.869999,31.819199,0
2007-05-22,62.820000,62.820000,62.820000,62.820000,31.793886,0
2007-05-23,62.810001,62.810001,62.810001,62.810001,31.788813,0
2007-05-24,62.220001,62.220001,62.220001,62.220001,31.490223,0
2007-05-25,62.570000,62.570000,62.570000,62.570000,31.667358,0
2007-05-29,62.590000,62.590000,62.590000,62.590000,31.677485,0
2007-05-30,63.060001,63.060001,63.060001,63.060001,31.915358,0
2007-05-31,63.080002,63.080002,63.080002,63.080002,31.925470,0
2007-06-01,63.310001,63.310001,63.310001,63.310001,32.041885,0
2007-06-04,63.459999,63.459999,63.459999,63.459999,32.117794,0
2007-06-05,63.139999,63.139999,63.139999,63.139999,31.955843,0
2007-06-06,62.570000,62.570000,62.570000,62.570000,31.667358,0
2007-06-07,61.509998,61.509998,61.509998,61.509998,31.130875,0
2007-06-08,62.220001,62.220001,62.220001,62.220001,31.490223,0
2007-06-11,62.380001,62.380001,62.380001,62.380001,31.571201,0
2007-06-12,61.689999,61.689999,61.689999,61.689999,31.221973,0
2007-06-13,62.639999,62.639999,62.639999,62.639999,31.702793,0
2007-06-14,63.000000,63.000000,63.000000,63.000000,31.884985,0
2007-06-15,63.410000,63.410000,63.410000,63.410000,32.092495,0
2007-06-18,63.369999,63.369999,63.369999,63.369999,32.072247,0
2007-06-19,63.439999,63.439999,63.439999,63.439999,32.107674,0
2007-06-20,62.540001,62.540001,62.540001,62.540001,31.652174,0
2007-06-21,62.919998,62.919998,62.919998,62.919998,31.844498,0
2007-06-22,62.160000,62.160000,62.160000,62.160000,31.459850,0
2007-06-25,61.939999,61.939999,61.939999,61.939999,31.348518,0
2007-06-26,61.740002,61.740002,61.740002,61.740002,31.247284,0
2007-06-27,62.279999,62.279999,62.279999,62.279999,31.520586,0
2007-06-28,62.270000,62.270000,62.270000,62.270000,31.515526,0
2007-06-29,62.230000,62.230000,62.230000,62.230000,31.495274,0
2007-07-02,62.939999,62.939999,62.939999,62.939999,31.854610,0
2007-07-03,63.169998,63.169998,63.169998,63.169998,31.971022,0
2007-07-05,63.070000,63.070000,63.070000,63.070000,31.920412,0
2007-07-06,63.080002,63.080002,63.080002,63.080002,32.052525,0
2007-07-09,63.139999,63.139999,63.139999,63.139999,32.083015,0
2007-07-10,62.200001,62.200001,62.200001,62.200001,31.605389,0
2007-07-11,62.570000,62.570000,62.570000,62.570000,31.793390,0
2007-07-12,63.779999,63.779999,63.779999,63.779999,32.408211,0
